date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,HANG SENG SECURITIES LTD,CHINA MERCHANTS BANK CO LTD,DBS BANK LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
2024-03-04,0.0,65500.0,142348.0,0.0,471260.0,20040.0,20080.0,0.0,0.0,0.0
2024-03-05,4080430.0,65440.0,142358.0,61630.0,470980.0,18740.0,0.0,0.0,0.0,0.0
2024-03-06,4081040.0,68640.0,158165.0,62150.0,0.0,0.0,20420.0,5010.0,0.0,0.0
2024-03-07,0.0,69410.0,158265.0,61970.0,470480.0,17840.0,0.0,0.0,0.0,0.0
2024-03-08,4089490.0,69260.0,147975.0,63070.0,472860.0,16500.0,20820.0,4710.0,0.0,0.0
2024-03-11,4083590.0,67960.0,147865.0,63390.0,473170.0,0.0,0.0,5330.0,0.0,0.0
2024-03-12,4083490.0,72030.0,147595.0,63900.0,472190.0,15160.0,21680.0,0.0,0.0,0.0
2024-03-13,4083510.0,62890.0,163996.0,64350.0,0.0,0.0,0.0,5940.0,0.0,0.0
2024-03-14,4084310.0,61720.0,68416.0,66430.0,471930.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,0.0,66610.0,72556.0,68210.0,465490.0,0.0,0.0,3980.0,0.0,0.0
2024-03-18,4085510.0,70220.0,62776.0,68510.0,468190.0,0.0,0.0,0.0,0.0,0.0
2024-03-19,4090750.0,74850.0,87510.0,71710.0,473590.0,0.0,0.0,4320.0,0.0,0.0
2024-03-20,4093770.0,77850.0,87520.0,75740.0,0.0,0.0,21790.0,6760.0,0.0,0.0
2024-03-21,4094230.0,79930.0,91640.0,76710.0,0.0,17060.0,0.0,0.0,0.0,0.0
2024-03-22,4095070.0,80590.0,0.0,76740.0,473240.0,0.0,0.0,7040.0,0.0,0.0
2024-03-25,4097480.0,82260.0,92080.0,0.0,477500.0,22930.0,0.0,0.0,17600.0,0.0
2024-03-26,4098450.0,82900.0,92100.0,77040.0,477800.0,0.0,0.0,0.0,0.0,0.0
2024-03-27,4099450.0,83560.0,92210.0,78040.0,477200.0,0.0,0.0,0.0,0.0,0.0
2024-03-28,4101700.0,88630.0,81810.0,78210.0,0.0,23060.0,0.0,0.0,0.0,0.0
2024-04-03,4103520.0,90840.0,0.0,66820.0,476700.0,0.0,0.0,8140.0,0.0,0.0
2024-04-05,4108620.0,99310.0,82190.0,99360.0,479130.0,0.0,0.0,9340.0,0.0,0.0
2024-04-08,4120220.0,103890.0,82970.0,114840.0,481360.0,25860.0,23590.0,11840.0,0.0,0.0
2024-04-09,4112720.0,103740.0,82980.0,115110.0,480970.0,29060.0,0.0,12040.0,0.0,0.0
2024-04-10,4127400.0,110290.0,89790.0,118610.0,485860.0,29570.0,0.0,13040.0,0.0,0.0
2024-04-12,4127460.0,111520.0,0.0,118580.0,486670.0,30370.0,0.0,0.0,0.0,0.0
2024-04-15,4135260.0,121800.0,93140.0,124680.0,497760.0,31620.0,28490.0,13760.0,0.0,0.0
2024-04-16,4136360.0,126230.0,82450.0,127680.0,500060.0,32020.0,30590.0,14060.0,0.0,0.0
2024-04-17,4149660.0,127630.0,86830.0,130580.0,502460.0,32230.0,0.0,0.0,0.0,0.0
