date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,UOB KAY HIAN (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,ORIENT SECURITIES (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,CHINA INTERNATIONAL CAPITAL CORPORATION
2024-03-01,17.56225200093356,16.556275073321068,25.01782430505609,4.087440509439034,0.0,1.6665027906427599,0.0,35.10970532060749,0.0
2024-03-04,17.821962436814818,16.60200429919111,24.653845990909005,4.104122939973979,0.0,1.6770637300943148,0.0,35.14100060301678,0.0
2024-03-05,17.70227342166825,16.515522874042258,25.012133875384258,4.13325167086518,0.0,1.6960278122348234,0.0,34.94079034580523,0.0
2024-03-06,17.82904103539368,16.62983794940898,24.588705617749547,4.183274518741691,0.0,1.6714857123246378,0.0,35.097655166381465,0.0
2024-03-07,16.55516562838636,15.510509718401277,22.834229463033388,3.8914889254724208,0.0,1.532427475930049,0.0,32.59333468554183,7.082844103234676
2024-03-08,16.418220780100345,15.47671563978584,23.284021097372886,3.88369678523649,0.0,1.5387086937790044,0.0,32.365338629330104,7.0332983743953275
2024-03-11,16.442405703042777,15.522289779906131,23.130654471099213,3.8906076755244734,0.0,1.5567205227586518,0.0,32.413547272853876,7.04377457481488
2024-03-12,16.40513142976233,15.541336832489838,23.124144635134407,3.9123429306303006,0.0,1.5708270984209498,0.0,32.40442488178416,7.041792191778014
2024-03-13,16.28849765414171,15.494764689838242,23.489066818562833,3.9101035384718976,0.0,1.5736104867309482,0.0,32.23828736595914,7.005669446295229
2024-03-14,16.27510700486673,15.504802044784594,23.470014839233492,3.8659294329763214,0.0,1.671752058511743,0.0,32.212407470994464,6.999987148632661
2024-03-15,16.316778601752844,15.59555581187041,23.174002198780244,3.911860741258118,0.0,1.6885006599946701,0.0,32.29523730236699,7.01806468397672
2024-03-18,16.22824526190489,15.536671929374506,23.4930394936042,3.930115368970318,0.0,1.688603513550294,0.0,32.139173836048556,6.984150596547235
